topic,term1,term2,score,relatedness_level
the one-child policy of china is justified,population,cultural revolution,0.0,low
the one-child policy of china is justified,population,eugenic,0.3,low
the one-child policy of china is justified,population,eugenics,0.2,low
the one-child policy of china is justified,population,international planned parenthood,0.4,medium
the one-child policy of china is justified,population,one child policy,0.8,high
the one-child policy of china is justified,population,special administrative regions,0.1,low
the one-child policy of china is justified,population and development,china,0.5,medium
the one-child policy of china is justified,population and development,eugenic,0.2,low
the one-child policy of china is justified,population and development,female,0.0,low
the one-child policy of china is justified,population and development,one child policy,0.5,medium
the one-child policy of china is justified,population and development,urban areas,0.4,medium
the one-child policy of china is justified,population control,birth control,1.0,high
the one-child policy of china is justified,population control,china,1.0,high
the one-child policy of china is justified,population control,gender,0.0,low
the one-child policy of china is justified,population control,macau,0.3,low
the one-child policy of china is justified,population control,one child policy,0.9,high
the one-child policy of china is justified,population control,total population,0.9,high
the one-child policy of china is justified,population control,urban areas,0.4,medium
the one-child policy of china is justified,population control policies,china,1.0,high
the one-child policy of china is justified,population control policies,cultural revolution,0.0,low
the one-child policy of china is justified,population control policies,gender imbalance,0.6,medium
the one-child policy of china is justified,population control policies,one child policy,1.0,high
the one-child policy of china is justified,population control policies,united nations population,0.4,medium
the one-child policy of china is justified,population control policies,urban population,0.5,medium
the one-child policy of china is justified,population density,china,0.7,high
the one-child policy of china is justified,population density,one child policy,0.8,high
the one-child policy of china is justified,population growth,children per woman,0.9,high
the one-child policy of china is justified,population growth,china,0.9,high
the one-child policy of china is justified,population growth,ethnic minorities,0.4,medium
the one-child policy of china is justified,population growth,family planning programs,0.9,high
the one-child policy of china is justified,population growth,gender,0.0,low
the one-child policy of china is justified,population growth,international planned parenthood,0.6,medium
the one-child policy of china is justified,population growth,one child policy,1.0,high
the one-child policy of china is justified,population growth,special administrative regions,0.0,low
the one-child policy of china is justified,population growth,total population,1.0,high
the one-child policy of china is justified,population growth,urban areas,0.3,low
the one-child policy of china is justified,programme of action,china,0.0,low
the one-child policy of china is justified,programme of action,gender imbalance,0.0,low
the one-child policy of china is justified,programme of action,one child policy,0.3,low
the one-child policy of china is justified,programme of action,urban areas,0.0,low
the one-child policy of china is justified,rapid population growth,china,0.8,high
the one-child policy of china is justified,rapid population growth,one child policy,1.0,high
the one-child policy of china is justified,ratio,china,0.0,low
the one-child policy of china is justified,ratio,one child policy,0.0,low
the one-child policy of china is justified,reproductive,children per woman,0.7,high
the one-child policy of china is justified,reproductive,china,0.2,low
the one-child policy of china is justified,reproductive,eugenics,0.3,low
the one-child policy of china is justified,reproductive,international planned parenthood,0.5,medium
the one-child policy of china is justified,reproductive,one child policy,0.6,medium
the one-child policy of china is justified,reproductive,planned parenthood federation,0.5,medium
the one-child policy of china is justified,reproductive,rapid population growth,0.5,medium
the one-child policy of china is justified,reproductive health,china,0.2,low
the one-child policy of china is justified,reproductive health,female,0.6,medium
the one-child policy of china is justified,reproductive health,one child policy,0.1,low
the one-child policy of china is justified,reproductive rights,china,0.3,low
the one-child policy of china is justified,reproductive rights,fertility rate,0.4,medium
the one-child policy of china is justified,reproductive rights,gender,0.1,low
the one-child policy of china is justified,reproductive rights,one child policy,0.8,high
the one-child policy of china is justified,reproductive rights,population density,0.5,medium
the one-child policy of china is justified,reproductive rights,rapid population growth,0.4,medium
the one-child policy of china is justified,republic of china,china,1.0,high
the one-child policy of china is justified,republic of china,ethnic minorities,0.1,low
the one-child policy of china is justified,republic of china,eugenics,0.0,low
the one-child policy of china is justified,republic of china,family planning programs,0.3,low
the one-child policy of china is justified,republic of china,one child policy,0.9,high
the one-child policy of china is justified,republic of china,planned parenthood federation,0.1,low
the one-child policy of china is justified,republic of china,special administrative regions,0.7,high
the one-child policy of china is justified,rural,china,0.1,low
the one-child policy of china is justified,rural,one child policy,0.2,low
the one-child policy of china is justified,rural areas,china,0.1,low
the one-child policy of china is justified,rural areas,macau,0.1,low
the one-child policy of china is justified,rural areas,one child policy,0.1,low
the one-child policy of china is justified,rural areas,rapid population growth,0.2,low
the one-child policy of china is justified,sex selective abortion,birth control,0.9,high
the one-child policy of china is justified,sex selective abortion,china,0.5,medium
the one-child policy of china is justified,sex selective abortion,ericsson method,0.6,medium
the one-child policy of china is justified,sex selective abortion,family planning programs,0.7,high
the one-child policy of china is justified,sex selective abortion,one child policy,0.9,high
the one-child policy of china is justified,social sex selection,china,0.4,medium
the one-child policy of china is justified,social sex selection,cultural revolution,0.0,low
the one-child policy of china is justified,social sex selection,demographic,0.5,medium
the one-child policy of china is justified,social sex selection,ericsson method,0.9,high
the one-child policy of china is justified,social sex selection,female,0.5,medium
the one-child policy of china is justified,social sex selection,one child policy,0.6,medium
the one-child policy of china is justified,social sex selection,special administrative regions,0.0,low
the one-child policy of china is justified,social sex selection,urban population,0.1,low
the one-child policy of china is justified,special administrative regions,china,0.7,high
the one-child policy of china is justified,special administrative regions,one child policy,0.0,low
the one-child policy of china is justified,sterilization,china,0.1,low
the one-child policy of china is justified,sterilization,gender,0.0,low
the one-child policy of china is justified,sterilization,gender imbalance,0.2,low
the one-child policy of china is justified,sterilization,international planned parenthood,0.0,low
the one-child policy of china is justified,sterilization,macau,0.0,low
the one-child policy of china is justified,sterilization,one child policy,0.2,low
the one-child policy of china is justified,sterilization,ratio,0.0,low
the one-child policy of china is justified,sterilization,rural,0.0,low
the one-child policy of china is justified,sterilized,china,0.1,low
the one-child policy of china is justified,sterilized,one child policy,0.2,low
the one-child policy of china is justified,total fertility rate,birth control,0.8,high
the one-child policy of china is justified,total fertility rate,china,0.4,medium
the one-child policy of china is justified,total fertility rate,gender,0.1,low
the one-child policy of china is justified,total fertility rate,one child policy,0.7,high
the one-child policy of china is justified,total fertility rate,sterilized,0.4,medium
the one-child policy of china is justified,total population,china,0.4,medium
the one-child policy of china is justified,total population,one child policy,0.7,high
the one-child policy of china is justified,united nations population,china,0.1,low
the one-child policy of china is justified,united nations population,one child policy,0.0,low
the one-child policy of china is justified,urban areas,china,0.1,low
the one-child policy of china is justified,urban areas,one child policy,0.2,low
the one-child policy of china is justified,urban population,china,0.2,low
the one-child policy of china is justified,urban population,one child policy,0.1,low
the right to asylum should not be absolute,arrival,right to asylum,0.1,low
the right to asylum should not be absolute,arriving,right to asylum,0.1,low
the right to asylum should not be absolute,asylum,casework,0.1,low
the right to asylum should not be absolute,asylum,right to asylum,1.0,high
the right to asylum should not be absolute,asylum applications,right to asylum,1.0,high
the right to asylum should not be absolute,asylum claims,right to asylum,1.0,high
the right to asylum should not be absolute,asylum seekers,british nationality act,0.5,medium
the right to asylum should not be absolute,asylum seekers,granted asylum,1.0,high
the right to asylum should not be absolute,asylum seekers,home affairs,0.4,medium
the right to asylum should not be absolute,asylum seekers,illegal entrant,1.0,high
the right to asylum should not be absolute,asylum seekers,nationality,0.6,medium
the right to asylum should not be absolute,asylum seekers,right to asylum,1.0,high
the right to asylum should not be absolute,boat,right to asylum,0.0,low
the right to asylum should not be absolute,boat people,asylum applications,0.6,medium
the right to asylum should not be absolute,boat people,boat,0.9,high
the right to asylum should not be absolute,boat people,right to asylum,0.8,high
the right to asylum should not be absolute,border control,right to asylum,0.7,high
the right to asylum should not be absolute,british nationality act,right to asylum,0.6,medium
the right to asylum should not be absolute,casework,right to asylum,0.1,low
the right to asylum should not be absolute,chief immigration officer,casework,0.2,low
the right to asylum should not be absolute,chief immigration officer,countries of origin,0.2,low
the right to asylum should not be absolute,chief immigration officer,foreign national,0.4,medium
the right to asylum should not be absolute,chief immigration officer,international refugee organization,0.6,medium
the right to asylum should not be absolute,chief immigration officer,right to asylum,0.7,high
the right to asylum should not be absolute,commissioner for refugees,resettlement,0.6,medium
the right to asylum should not be absolute,commissioner for refugees,right to asylum,0.9,high
the right to asylum should not be absolute,committee for refugees,right to asylum,0.9,high
the right to asylum should not be absolute,countries of origin,right to asylum,0.7,high
the right to asylum should not be absolute,country of origin,asylum applications,0.7,high
the right to asylum should not be absolute,country of origin,casework,0.0,low
the right to asylum should not be absolute,country of origin,committee for refugees,0.3,low
the right to asylum should not be absolute,country of origin,criminal casework team,0.1,low
the right to asylum should not be absolute,country of origin,home affairs,0.1,low
the right to asylum should not be absolute,country of origin,people,0.2,low
the right to asylum should not be absolute,country of origin,right to asylum,0.4,medium
the right to asylum should not be absolute,criminal casework team,right to asylum,0.2,low
the right to asylum should not be absolute,displaced people,right to asylum,1.0,high
the right to asylum should not be absolute,enforcement,casework,0.0,low
the right to asylum should not be absolute,enforcement,countries of origin,0.1,low
the right to asylum should not be absolute,enforcement,foreign nationals,0.1,low
the right to asylum should not be absolute,enforcement,right to asylum,0.1,low
the right to asylum should not be absolute,enforcement immigration officers,right to asylum,0.9,high
the right to asylum should not be absolute,eu blue card,right to asylum,0.3,low
the right to asylum should not be absolute,fear of persecution,asylum applications,0.9,high
the right to asylum should not be absolute,fear of persecution,resettlement,0.4,medium
the right to asylum should not be absolute,fear of persecution,right to asylum,0.9,high
the right to asylum should not be absolute,federal migration service,right to asylum,0.9,high
the right to asylum should not be absolute,foreign national,right to asylum,0.5,medium
the right to asylum should not be absolute,foreign nationals,right to asylum,0.8,high
the right to asylum should not be absolute,granted asylum,right to asylum,1.0,high
the right to asylum should not be absolute,home affairs,right to asylum,0.3,low
the right to asylum should not be absolute,home office,arrival,0.0,low
the right to asylum should not be absolute,home office,right to asylum,0.3,low
the right to asylum should not be absolute,home secretary,right to asylum,0.0,low
the right to asylum should not be absolute,illegal,arrival,0.0,low
the right to asylum should not be absolute,illegal,right to asylum,0.1,low
the right to asylum should not be absolute,illegal entrant,right to asylum,0.9,high
the right to asylum should not be absolute,illegal entrants,arrival,0.2,low
the right to asylum should not be absolute,illegal entrants,granted asylum,0.9,high
the right to asylum should not be absolute,illegal entrants,refugee camps,0.9,high
the right to asylum should not be absolute,illegal entrants,right to asylum,1.0,high
the right to asylum should not be absolute,illegal immigrants,nationality,0.6,medium
the right to asylum should not be absolute,illegal immigrants,refugee camps,0.8,high
the right to asylum should not be absolute,illegal immigrants,right to asylum,0.9,high
the right to asylum should not be absolute,immigrants,illegal entrant,1.0,high
the right to asylum should not be absolute,immigrants,right to asylum,1.0,high
the right to asylum should not be absolute,immigration,right to asylum,0.9,high
the right to asylum should not be absolute,immigration control,committee for refugees,0.8,high
the right to asylum should not be absolute,immigration control,foreign national,0.8,high
the right to asylum should not be absolute,immigration control,right to asylum,1.0,high
the right to asylum should not be absolute,immigration officers,british nationality act,0.4,medium
the right to asylum should not be absolute,immigration officers,nationality,0.4,medium
the right to asylum should not be absolute,immigration officers,right to asylum,0.9,high
the right to asylum should not be absolute,immigration service,ports of entry,0.7,high
the right to asylum should not be absolute,immigration service,right to asylum,0.9,high
the right to asylum should not be absolute,immigration service enforcement,right to asylum,0.7,high
the right to asylum should not be absolute,internally displaced persons,right to asylum,0.4,medium
the right to asylum should not be absolute,international refugee organization,right to asylum,1.0,high
the right to asylum should not be absolute,law on refugees,boat,0.0,low
the right to asylum should not be absolute,law on refugees,criminal casework team,0.2,low
the right to asylum should not be absolute,law on refugees,displaced people,1.0,high
the right to asylum should not be absolute,law on refugees,right to asylum,1.0,high
the right to asylum should not be absolute,nationality,right to asylum,0.6,medium
the right to asylum should not be absolute,nations high commissioner,british nationality act,0.3,low
the right to asylum should not be absolute,nations high commissioner,international refugee organization,0.4,medium
the right to asylum should not be absolute,nations high commissioner,ports of entry,0.1,low
the right to asylum should not be absolute,nations high commissioner,refugee camps,0.4,medium
the right to asylum should not be absolute,nations high commissioner,right to asylum,0.4,medium
the right to asylum should not be absolute,passport,right to asylum,0.4,medium
the right to asylum should not be absolute,people,right to asylum,0.2,low
the right to asylum should not be absolute,ports of entry,right to asylum,0.3,low
the right to asylum should not be absolute,refugee,criminal casework team,0.2,low
the right to asylum should not be absolute,refugee,right to asylum,1.0,high
the right to asylum should not be absolute,refugee camps,right to asylum,0.8,high
the right to asylum should not be absolute,refugee status,right to asylum,1.0,high
the right to asylum should not be absolute,refugee status,status,0.9,high
the right to asylum should not be absolute,refugees,countries of origin,0.8,high
the right to asylum should not be absolute,refugees,international refugee organization,1.0,high
the right to asylum should not be absolute,refugees,ports of entry,0.7,high
the right to asylum should not be absolute,refugees,resettlement,1.0,high
the right to asylum should not be absolute,refugees,right to asylum,1.0,high
the right to asylum should not be absolute,resettlement,right to asylum,0.9,high
the right to asylum should not be absolute,seekers,arriving,0.1,low
the right to asylum should not be absolute,seekers,countries of origin,0.2,low
the right to asylum should not be absolute,seekers,ports of entry,0.1,low
the right to asylum should not be absolute,seekers,right to asylum,0.4,medium
the right to asylum should not be absolute,status,right to asylum,0.3,low
the right to asylum should not be absolute,status of refugees,displaced people,1.0,high
the right to asylum should not be absolute,status of refugees,foreign national,0.6,medium
the right to asylum should not be absolute,status of refugees,passport,0.3,low
the right to asylum should not be absolute,status of refugees,right to asylum,1.0,high
the right to asylum should not be absolute,status of refugees,status,0.7,high
the right to asylum should not be absolute,uk,illegal entrant,0.0,low
the right to asylum should not be absolute,uk,refugee camps,0.0,low
the right to asylum should not be absolute,uk,right to asylum,0.1,low
the right to asylum should not be absolute,uk and colonies,right to asylum,0.1,low
the right to asylum should not be absolute,uk border agency,right to asylum,0.5,medium
the right to asylum should not be absolute,unhcr,border control,0.3,low
the right to bear arms should be limited,amendment,right to bear arms,0.5,medium
the right to bear arms should be limited,american gun culture,right to bear arms,1.0,high
the right to bear arms should be limited,ammunition,right to bear arms,0.7,high
the right to bear arms should be limited,arms,right to bear arms,1.0,high
the right to bear arms should be limited,assault weapons ban,right to bear arms,0.9,high
the right to bear arms should be limited,automatic,right to bear arms,0.2,low
the right to bear arms should be limited,automatic weapons,right to bear arms,0.8,high
the right to bear arms should be limited,bear arms,right to bear arms,1.0,high
the right to bear arms should be limited,bill of rights,carrying of arms,0.6,medium
the right to bear arms should be limited,bill of rights,homicide,0.1,low
the right to bear arms should be limited,bill of rights,license,0.0,low
the right to bear arms should be limited,bill of rights,right to bear arms,0.6,medium
the right to bear arms should be limited,bill of rights,shotguns,0.0,low
the right to bear arms should be limited,carrying of arms,right to bear arms,1.0,high
the right to bear arms should be limited,citizens,right to bear arms,0.4,medium
the right to bear arms should be limited,collective rights model,right to bear arms,0.5,medium
the right to bear arms should be limited,defense,right to bear arms,0.5,medium
the right to bear arms should be limited,district of columbia,right to bear arms,0.3,low
the right to bear arms should be limited,domestic violence,right to bear arms,0.4,medium
the right to bear arms should be limited,firearm,automatic,0.7,high
the right to bear arms should be limited,firearm,citizens,0.1,low
the right to bear arms should be limited,firearm,right to bear arms,1.0,high
the right to bear arms should be limited,firearm ownership,right to bear arms,0.8,high
the right to bear arms should be limited,firearms,firearm ownership,1.0,high
the right to bear arms should be limited,firearms,right to bear arms,1.0,high
the right to bear arms should be limited,firearms,shotguns,1.0,high
the right to bear arms should be limited,firearms,type of weapon,1.0,high
the right to bear arms should be limited,firearms and ammunition,license,0.6,medium
the right to bear arms should be limited,firearms and ammunition,right to bear arms,1.0,high
the right to bear arms should be limited,fully automatic,right to bear arms,0.2,low
the right to bear arms should be limited,fully automatic firearms,right to bear arms,0.7,high
the right to bear arms should be limited,gary kleck,right to bear arms,0.7,high
the right to bear arms should be limited,gun,ammunition,1.0,high
the right to bear arms should be limited,gun,automatic weapons,0.9,high
the right to bear arms should be limited,gun,fully automatic,0.8,high
the right to bear arms should be limited,gun,homicide,0.9,high
the right to bear arms should be limited,gun,right to bear arms,1.0,high
the right to bear arms should be limited,gun control,american gun culture,0.9,high
the right to bear arms should be limited,gun control,district of columbia,0.3,low
the right to bear arms should be limited,gun control,gary kleck,0.7,high
the right to bear arms should be limited,gun control,homicide,0.6,medium
the right to bear arms should be limited,gun control,pro gun,0.9,high
the right to bear arms should be limited,gun control,right to bear arms,1.0,high
the right to bear arms should be limited,gun control act,automatic weapons,0.7,high
the right to bear arms should be limited,gun control act,fully automatic firearms,0.4,medium
the right to bear arms should be limited,gun control act,homicide,0.4,medium
the right to bear arms should be limited,gun control act,right to bear arms,0.9,high
the right to bear arms should be limited,gun control advocates,fully automatic,0.1,low
the right to bear arms should be limited,gun control advocates,gun crime,0.8,high
the right to bear arms should be limited,gun control advocates,right to bear arms,0.9,high
the right to bear arms should be limited,gun control laws,automatic weapons,0.6,medium
the right to bear arms should be limited,gun control laws,gary kleck,0.8,high
the right to bear arms should be limited,gun control laws,right to bear arms,1.0,high
the right to bear arms should be limited,gun control legislation,carrying of arms,0.9,high
the right to bear arms should be limited,gun control legislation,citizens,0.1,low
the right to bear arms should be limited,gun control legislation,right to bear arms,0.9,high
the right to bear arms should be limited,gun control legislation,type of weapon,0.7,high
the right to bear arms should be limited,gun crime,right to bear arms,0.6,medium
the right to bear arms should be limited,gun laws,rates of gun,0.5,medium
the right to bear arms should be limited,gun laws,right to bear arms,1.0,high
the right to bear arms should be limited,gun owners,collective rights model,0.3,low
the right to bear arms should be limited,gun owners,homicide,0.3,low
the right to bear arms should be limited,gun owners,right to bear arms,1.0,high
the right to bear arms should be limited,gun ownership,gun crime,0.8,high
the right to bear arms should be limited,gun ownership,pro gun,1.0,high
the right to bear arms should be limited,gun ownership,right to bear arms,1.0,high
the right to bear arms should be limited,gun possession,right to bear arms,1.0,high
the right to bear arms should be limited,gun related,homicide,0.8,high
the right to bear arms should be limited,gun related,right to bear arms,0.8,high
the right to bear arms should be limited,gun related,shotguns,0.4,medium
the right to bear arms should be limited,gun rights,assault weapons ban,0.8,high
the right to bear arms should be limited,gun rights,right to bear arms,0.9,high
the right to bear arms should be limited,gun rights advocates,license,0.4,medium
the right to bear arms should be limited,gun rights advocates,right to bear arms,0.9,high
the right to bear arms should be limited,gun violence,ammunition,0.4,medium
the right to bear arms should be limited,gun violence,license,0.0,low
the right to bear arms should be limited,gun violence,right to bear arms,0.9,high
the right to bear arms should be limited,guns,american gun culture,0.9,high
the right to bear arms should be limited,guns,automatic,0.7,high
the right to bear arms should be limited,guns,number of guns,1.0,high
the right to bear arms should be limited,guns,right to bear arms,1.0,high
the right to bear arms should be limited,handguns,automatic weapons,0.8,high
the right to bear arms should be limited,handguns,law enforcement,0.3,low
the right to bear arms should be limited,handguns,right to bear arms,1.0,high
the right to bear arms should be limited,homicide,right to bear arms,0.3,low
the right to bear arms should be limited,kleck,right to bear arms,0.6,medium
the right to bear arms should be limited,law abiding citizens,fully automatic firearms,0.0,low
the right to bear arms should be limited,law abiding citizens,gun possession,0.5,medium
the right to bear arms should be limited,law abiding citizens,law enforcement,0.7,high
the right to bear arms should be limited,law abiding citizens,right to bear arms,0.3,low
the right to bear arms should be limited,law enforcement,right to bear arms,0.5,medium
the right to bear arms should be limited,license,right to bear arms,0.6,medium
the right to bear arms should be limited,militia,district of columbia,0.1,low
the right to bear arms should be limited,militia,license,0.0,low
the right to bear arms should be limited,militia,right to bear arms,0.9,high
the right to bear arms should be limited,national firearms act,gary kleck,0.1,low
the right to bear arms should be limited,national firearms act,kleck,0.1,low
the right to bear arms should be limited,national firearms act,operation ceasefire,0.4,medium
the right to bear arms should be limited,national firearms act,police,0.3,low
the right to bear arms should be limited,national firearms act,pro gun,0.8,high
the right to bear arms should be limited,national firearms act,right to bear arms,0.9,high
the right to bear arms should be limited,national rifle association,right to bear arms,0.9,high
the right to bear arms should be limited,national rifle association,weapons and ammunition,0.7,high
the right to bear arms should be limited,nra,right to bear arms,1.0,high
the right to bear arms should be limited,number of guns,right to bear arms,0.7,high
the right to bear arms should be limited,operation ceasefire,right to bear arms,0.6,medium
the right to bear arms should be limited,ownership,carrying of arms,0.8,high
the right to bear arms should be limited,ownership,fully automatic,0.0,low
the right to bear arms should be limited,ownership,right to bear arms,0.6,medium
the right to bear arms should be limited,police,right to bear arms,0.2,low
the right to bear arms should be limited,pro gun,right to bear arms,0.8,high
the right to bear arms should be limited,rates of gun,right to bear arms,0.4,medium
the right to bear arms should be limited,rifle,right to bear arms,1.0,high
the right to bear arms should be limited,shotguns,right to bear arms,0.9,high
the right to bear arms should be limited,type of weapon,right to bear arms,0.5,medium
the right to bear arms should be limited,united states,number of guns,0.2,low
the right to bear arms should be limited,united states,right to bear arms,0.6,medium
the right to bear arms should be limited,united states,shotguns,0.0,low
the right to bear arms should be limited,violent crime,right to bear arms,0.6,medium
the right to bear arms should be limited,weapons and ammunition,right to bear arms,1.0,high
the sale of violent video games to minors should be banned,action games,minors,0.5,medium
the sale of violent video games to minors should be banned,action games,violent video games,0.9,high
the sale of violent video games to minors should be banned,aggression,consoles,0.0,low
the sale of violent video games to minors should be banned,aggression,minors,0.2,low
the sale of violent video games to minors should be banned,aggression,violent video games,1.0,high
the sale of violent video games to minors should be banned,aggressive behavior,columbine high school,1.0,high
the sale of violent video games to minors should be banned,aggressive behavior,minors,0.44999999999999996,medium
the sale of violent video games to minors should be banned,aggressive behavior,online games,0.3,low
the sale of violent video games to minors should be banned,aggressive behavior,rating board esrb,0.2,low
the sale of violent video games to minors should be banned,aggressive behavior,violent video games,0.9,high
the sale of violent video games to minors should be banned,attorney jack thompson,minors,0.3,low
the sale of violent video games to minors should be banned,attorney jack thompson,violent video games,1.0,high
the sale of violent video games to minors should be banned,character,minors,0.0,low
the sale of violent video games to minors should be banned,character,violent video games,0.2,low
the sale of violent video games to minors should be banned,child maltreatment,minors,0.7,high
the sale of violent video games to minors should be banned,child maltreatment,violent video games,0.0,low
the sale of violent video games to minors should be banned,columbine high school,minors,0.8,high
the sale of violent video games to minors should be banned,columbine high school,violent video games,0.7,high
the sale of violent video games to minors should be banned,computer games,character,0.4,medium
the sale of violent video games to minors should be banned,computer games,columbine high school,0.6,medium
the sale of violent video games to minors should be banned,computer games,forms of violence,0.0,low
the sale of violent video games to minors should be banned,computer games,gameplay,1.0,high
the sale of violent video games to minors should be banned,computer games,measures of aggression,0.0,low
the sale of violent video games to minors should be banned,computer games,minors,0.5,medium
the sale of violent video games to minors should be banned,computer games,nintendo,0.8,high
the sale of violent video games to minors should be banned,computer games,online games,1.0,high
the sale of violent video games to minors should be banned,computer games,violent video games,0.8,high
the sale of violent video games to minors should be banned,consoles,minors,0.1,low
the sale of violent video games to minors should be banned,consoles,violent video games,0.8,high
the sale of violent video games to minors should be banned,content rating,minors,0.7,high
the sale of violent video games to minors should be banned,content rating,violent video games,1.0,high
the sale of violent video games to minors should be banned,effects,minors,0.0,low
the sale of violent video games to minors should be banned,effects,violent video games,0.3,low
the sale of violent video games to minors should be banned,entertainment software,attorney jack thompson,0.5,medium
the sale of violent video games to minors should be banned,entertainment software,forms of violence,0.0,low
the sale of violent video games to minors should be banned,entertainment software,minors,0.3,low
the sale of violent video games to minors should be banned,entertainment software,studies,0.0,low
the sale of violent video games to minors should be banned,entertainment software,violent video games,0.7,high
the sale of violent video games to minors should be banned,entertainment software,youth,0.4,medium
the sale of violent video games to minors should be banned,entertainment software rating,minors,0.5,medium
the sale of violent video games to minors should be banned,entertainment software rating,rating board,1.0,high
the sale of violent video games to minors should be banned,entertainment software rating,rating board esrb,1.0,high
the sale of violent video games to minors should be banned,entertainment software rating,video game sales,0.6,medium
the sale of violent video games to minors should be banned,entertainment software rating,violent video games,0.9,high
the sale of violent video games to minors should be banned,first person shooter,minors,0.2,low
the sale of violent video games to minors should be banned,first person shooter,playing video games,0.8,high
the sale of violent video games to minors should be banned,first person shooter,studies,0.0,low
the sale of violent video games to minors should be banned,first person shooter,violent video games,0.9,high
the sale of violent video games to minors should be banned,first person shooter,youth,0.2,low
the sale of violent video games to minors should be banned,forms of violence,minors,0.1,low
the sale of violent video games to minors should be banned,forms of violence,violent video games,0.8,high
the sale of violent video games to minors should be banned,game,character,0.5,medium
the sale of violent video games to minors should be banned,game,game content rating,1.0,high
the sale of violent video games to minors should be banned,game,minors,0.4,medium
the sale of violent video games to minors should be banned,game,violent content,0.4,medium
the sale of violent video games to minors should be banned,game,violent video games,0.9,high
the sale of violent video games to minors should be banned,game content rating,minors,0.3,low
the sale of violent video games to minors should be banned,game content rating,violent video games,1.0,high
the sale of violent video games to minors should be banned,gameplay,minors,0.3,low
the sale of violent video games to minors should be banned,gameplay,violent video games,0.8,high
the sale of violent video games to minors should be banned,games,forms of violence,0.1,low
the sale of violent video games to minors should be banned,games,game content rating,0.8,high
the sale of violent video games to minors should be banned,games,kutner and olson,0.6,medium
the sale of violent video games to minors should be banned,games,measures of aggression,0.0,low
the sale of violent video games to minors should be banned,games,minors,0.5,medium
the sale of violent video games to minors should be banned,games,strategy games,0.9,high
the sale of violent video games to minors should be banned,games,violent acts,0.1,low
the sale of violent video games to minors should be banned,games,violent content,0.5,medium
the sale of violent video games to minors should be banned,games,violent video games,0.8,high
the sale of violent video games to minors should be banned,gaming,effects,0.0,low
the sale of violent video games to minors should be banned,gaming,forms of violence,0.2,low
the sale of violent video games to minors should be banned,gaming,minors,0.5,medium
the sale of violent video games to minors should be banned,gaming,violent video games,1.0,high
the sale of violent video games to minors should be banned,grand theft,minors,0.2,low
the sale of violent video games to minors should be banned,grand theft,rating board esrb,0.2,low
the sale of violent video games to minors should be banned,grand theft,violent video games,0.6,medium
the sale of violent video games to minors should be banned,grand theft auto,child maltreatment,0.0,low
the sale of violent video games to minors should be banned,grand theft auto,kutner and olson,1.0,high
the sale of violent video games to minors should be banned,grand theft auto,minors,0.4,medium
the sale of violent video games to minors should be banned,grand theft auto,online games,0.5,medium
the sale of violent video games to minors should be banned,grand theft auto,playing video games,1.0,high
the sale of violent video games to minors should be banned,grand theft auto,sales,0.1,low
the sale of violent video games to minors should be banned,grand theft auto,sexual violence,0.4,medium
the sale of violent video games to minors should be banned,grand theft auto,video game sales,0.7,high
the sale of violent video games to minors should be banned,grand theft auto,violent video games,1.0,high
the sale of violent video games to minors should be banned,grand theft auto,youth,0.4,medium
the sale of violent video games to minors should be banned,intimate partner violence,effects,0.0,low
the sale of violent video games to minors should be banned,intimate partner violence,kutner and olson,0.0,low
the sale of violent video games to minors should be banned,intimate partner violence,minors,0.05,low
the sale of violent video games to minors should be banned,intimate partner violence,nintendo,0.0,low
the sale of violent video games to minors should be banned,intimate partner violence,violent video games,0.4,medium
the sale of violent video games to minors should be banned,kutner and olson,minors,0.5,medium
the sale of violent video games to minors should be banned,kutner and olson,violent video games,1.0,high
the sale of violent video games to minors should be banned,measures of aggression,minors,0.0,low
the sale of violent video games to minors should be banned,measures of aggression,violent video games,0.4,medium
the sale of violent video games to minors should be banned,media,minors,0.2,low
the sale of violent video games to minors should be banned,media,playing video games,0.6,medium
the sale of violent video games to minors should be banned,media,video game sales,0.6,medium
the sale of violent video games to minors should be banned,media,violent acts,0.1,low
the sale of violent video games to minors should be banned,media,violent video games,0.7,high
the sale of violent video games to minors should be banned,media violence,consoles,0.0,low
the sale of violent video games to minors should be banned,media violence,measures of aggression,0.6,medium
the sale of violent video games to minors should be banned,media violence,minors,0.1,low
the sale of violent video games to minors should be banned,media violence,online,0.1,low
the sale of violent video games to minors should be banned,media violence,sexual violence,0.7,high
the sale of violent video games to minors should be banned,media violence,strategy games,0.4,medium
the sale of violent video games to minors should be banned,media violence,violent acts,0.7,high
the sale of violent video games to minors should be banned,media violence,violent content,1.0,high
the sale of violent video games to minors should be banned,media violence,violent video games,0.9,high
the sale of violent video games to minors should be banned,minors,minors,1.0,high
the sale of violent video games to minors should be banned,minors,violent video games,0.7,high
the sale of violent video games to minors should be banned,nintendo,minors,0.4,medium
the sale of violent video games to minors should be banned,nintendo,violent video games,0.6,medium
the sale of violent video games to minors should be banned,online,minors,0.1,low
the sale of violent video games to minors should be banned,online,violent video games,0.5,medium
the sale of violent video games to minors should be banned,online games,minors,0.4,medium
the sale of violent video games to minors should be banned,online games,violent video games,1.0,high
the sale of violent video games to minors should be banned,player,character,0.7,high
the sale of violent video games to minors should be banned,player,child maltreatment,0.0,low
